donem,siddet_sinifi,ortalama_nbr
2021_oncesi,Düşük şiddet,0.287875235080719
2021_oncesi,Orta-düşük şiddet,0.3163716495037079
2021_oncesi,Orta-yüksek şiddet,0.33692747354507446
2021_oncesi,Yüksek şiddet,0.4398637115955353
2021_sonrasi,Düşük şiddet,0.09902109950780869
2021_sonrasi,Orta-düşük şiddet,-0.03523213416337967
2021_sonrasi,Orta-yüksek şiddet,-0.20687676966190338
2021_sonrasi,Yüksek şiddet,-0.42366939783096313
2022,Düşük şiddet,0.04486402869224548
2022,Orta-düşük şiddet,0.002633117139339447
2022,Orta-yüksek şiddet,-0.011240116320550442
2022,Yüksek şiddet,-0.023147962987422943
2023,Düşük şiddet,0.06530927121639252
2023,Orta-düşük şiddet,0.05414546653628349
2023,Orta-yüksek şiddet,0.07000517845153809
2023,Yüksek şiddet,0.09769896417856216
2024,Düşük şiddet,0.06366678327322006
2024,Orta-düşük şiddet,0.05867878347635269
2024,Orta-yüksek şiddet,0.07729198038578033
2024,Yüksek şiddet,0.10966197401285172
2025,Düşük şiddet,0.0869825929403305
2025,Orta-düşük şiddet,0.08793795853853226
2025,Orta-yüksek şiddet,0.10575167089700699
2025,Yüksek şiddet,0.13999424874782562
2026,Düşük şiddet,0.12309502810239792
2026,Orta-düşük şiddet,0.1270468533039093
2026,Orta-yüksek şiddet,0.14657378196716309
2026,Yüksek şiddet,0.1807972639799118
